# tildes_es.tsv — mapa de restauración de tildes del español (es-419).
# Formato: <forma_sin_tilde>\t<forma_con_tilde>, una entrada por línea.
# Las líneas que empiezan con '#' y las vacías se ignoran al cargar.
#
# Solo contiene palabras cuya forma SIN tilde NO existe en español, de modo
# que añadir la tilde jamás cambia el significado (codigo -> código). Las
# tildes diacríticas que dependen del contexto (esta/está, mas/más,
# numero/número) se excluyen A PROPÓSITO: su forma sin tilde también es una
# palabra válida y decidir requiere contexto que estas reglas no tienen.
#
# Derivado de dos fuentes, en tiempo de generación (no en runtime):
#  · RLA-ES / diccionario de español de LibreOffice, como oráculo de validez
#    léxica. Tri-licencia GPLv3 / LGPLv3 / MPL; este archivo derivado se
#    distribuye bajo MPL. Ver ATTRIBUTION.md.
#  · hermitdave/FrequencyWords (OpenSubtitles 2018, MIT) para elegir los
#    objetivos frecuentes y descartar ruido.
# Generado por scripts/gen_tildes.mjs — no editar a mano.
abaco	ábaco
abadia	abadía
abadias	abadías
abandonais	abandonáis
abandonalo	abandónalo
abandonandome	abandonándome
abandonaramos	abandonáramos
abandonaria	abandonaría
abandonariamos	abandonaríamos
abandonarian	abandonarían
abandonarias	abandonarías
abandoneis	abandonéis
abastecia	abastecía
abatio	abatió
abdicacion	abdicación
abduccion	abducción
aberracion	aberración
ablacion	ablación
abnegacion	abnegación
abofetearia	abofetearía
abogacia	abogacía
abolicion	abolición
abolio	abolió
abominacion	abominación
aborigenes	aborígenes
aborrecia	aborrecía
abrais	abráis
abrala	ábrala
abralo	ábralo
abrame	ábrame
abranla	ábranla
abranlas	ábranlas
abranlo	ábranlo
abranlos	ábranlos
abranme	ábranme
abranse	ábranse
abrasion	abrasión
abrazala	abrázala
abrazalo	abrázalo
abrazame	abrázame
abrazandola	abrazándola
abrazandome	abrazándome
abrazandonos	abrazándonos
abrazandose	abrazándose
abrazandote	abrazándote
abrazaria	abrazaría
abrela	ábrela
abrelas	ábrelas
abrele	ábrele
abrelo	ábrelo
abrelos	ábrelos
abreme	ábreme
abrenos	ábrenos
abrete	ábrete
abreviacion	abreviación
abri	abrí
abria	abría
abriamos	abríamos
abrian	abrían
abrias	abrías
abriendole	abriéndole
abriendome	abriéndome
abriendonos	abriéndonos
abriendose	abriéndose
abriendote	abriéndote
abrieramos	abriéramos
abrigate	abrígate
abriguese	abríguese
abrio	abrió
abrira	abrirá
abriran	abrirán
abriras	abrirás
abrire	abriré
abriria	abriría
abririamos	abriríamos
abririan	abrirían
abririas	abrirías
abris	abrís
abrochate	abróchate
abrochense	abróchense
abrochese	abróchese
absolucion	absolución
absolvera	absolverá
absolveran	absolverán
absolvio	absolvió
absorbera	absorberá
absorbi	absorbí
absorbia	absorbía
absorbio	absorbió
absorcion	absorción
abstencion	abstención
abstendre	abstendré
abstengase	absténgase
abstraccion	abstracción
abstraido	abstraído
abulon	abulón
aburri	aburrí
aburria	aburría
aburrian	aburrían
aburrias	aburrías
aburriendome	aburriéndome
aburriendote	aburriéndote
aburrio	aburrió
aburrira	aburrirá
aburriran	aburrirán
aburriras	aburrirás
aburrire	aburriré
aburriria	aburriría
aburririas	aburrirías
aburris	aburrís
abuson	abusón
aca	acá
acababamos	acabábamos
acabais	acabáis
acabandose	acabándose
acabaramos	acabáramos
acabaria	acabaría
acabariamos	acabaríamos
acabarian	acabarían
acabarias	acabarías
acabate	acábate
acabeis	acabéis
academica	académica
academicamente	académicamente
academicas	académicas
academico	académico
academicos	académicos
acariciame	acaríciame
acariciandome	acariciándome
acaros	ácaros
accedera	accederá
accederan	accederán
accedere	accederé
accederia	accedería
accedi	accedí
accedia	accedía
accedio	accedió
accion	acción
acechandome	acechándome
acechandonos	acechándonos
acechandote	acechándote
aceleracion	aceleración
acelerandose	acelerándose
aceleraria	aceleraría
acentua	acentúa
acentuan	acentúan
aceptabamos	aceptábamos
aceptacion	aceptación
aceptais	aceptáis
aceptala	acéptala
aceptalo	acéptalo
aceptalos	acéptalos
aceptame	acéptame
aceptandolo	aceptándolo
aceptaramos	aceptáramos
aceptaria	aceptaría
aceptariamos	aceptaríamos
aceptarian	aceptarían
aceptarias	aceptarías
acepteis	aceptéis
aceptela	acéptela
aceptelo	acéptelo
acepteme	acépteme
aceptenlo	acéptenlo
acercabamos	acercábamos
acercais	acercáis
acercame	acércame
acercandome	acercándome
acercandonos	acercándonos
acercandose	acercándose
acercandote	acercándote
acercanos	acércanos
acercaramos	acercáramos
acercaria	acercaría
acercarian	acercarían
acercarias	acercarías
acercate	acércate
acerqueis	acerquéis
acerquemonos	acerquémonos
acerquenla	acérquenla
acerquense	acérquense
acerquese	acérquese
acerrimo	acérrimo
acerrimos	acérrimos
acerte	acerté
acerto	acertó
acetico	acético
acida	ácida
acidas	ácidas
acido	ácido
acidos	ácidos
aclamacion	aclamación
aclaracion	aclaración
aclarame	aclárame
aclararia	aclararía
aclararmelo	aclarármelo
aclararselo	aclarárselo
aclarartelo	aclarártelo
aclarate	aclárate
aclareme	acláreme
acne	acné
acogera	acogerá
acogeran	acogerán
acogeria	acogería
acogi	acogí
acogio	acogió
acolito	acólito
acolitos	acólitos
acomodate	acomódate
acomodense	acomódense
acomodese	acomódese
acompañais	acompañáis
acompañala	acompáñala
acompañalo	acompáñalo
acompañalos	acompáñalos
acompañame	acompáñame
acompañandome	acompañándome
acompañandote	acompañándote
acompañanos	acompáñanos
acompañaria	acompañaría
acompañarias	acompañarías
acompañeis	acompañéis
acompañela	acompáñela
acompañelo	acompáñelo
acompañeme	acompáñeme
acompañenme	acompáñenme
acompañennos	acompáñennos
acompañenos	acompáñenos
aconito	acónito
aconsejaria	aconsejaría
aconsejarias	aconsejarías
acontecera	acontecerá
acontecio	aconteció
acordais	acordáis
acordandome	acordándome
acordaria	acordaría
acordarias	acordarías
acordeon	acordeón
acordo	acordó
acosandola	acosándola
acosandolo	acosándolo
acosandome	acosándome
acosandonos	acosándonos
acosandote	acosándote
acostabamos	acostábamos
acostais	acostáis
acostandome	acostándome
acostandonos	acostándonos
acostandose	acostándose
acostandote	acostándote
acostaramos	acostáramos
acostaria	acostaría
acostarias	acostarías
acoste	acosté
acostemonos	acostémonos
acosto	acostó
acostumbrabamos	acostumbrábamos
acostumbrandome	acostumbrándome
acostumbrandose	acostumbrándose
acostumbrandote	acostumbrándote
acostumbraria	acostumbraría
acostumbrate	acostúmbrate
acostumbrense	acostúmbrense
acostumbrese	acostúmbrese
acotacion	acotación
acreditacion	acreditación
acrilica	acrílica
acrilico	acrílico
acrobata	acróbata
acrobatas	acróbatas
acrobatica	acrobática
acrobatico	acrobático
acronimo	acrónimo
acronimos	acrónimos
acropolis	acrópolis
activacion	activación
activaria	activaría
actua	actúa
actuabamos	actuábamos
actuacion	actuación
actuais	actuáis
actualizacion	actualización
actuan	actúan
actuaramos	actuáramos
actuarian	actuarían
actuas	actúas
actueis	actuéis
actuen	actúen
actues	actúes
acuatica	acuática
acuaticas	acuáticas
acuatico	acuático
acuaticos	acuáticos
acudi	acudí
acudia	acudía
acudian	acudían
acudio	acudió
acudira	acudirá
acudiran	acudirán
acudiras	acudirás
acudire	acudiré
acudiria	acudiría
acudirian	acudirían
acuerdate	acuérdate
acuerdense	acuérdense
acuerdese	acuérdese
acuestate	acuéstate
acuestense	acuéstense
acuestese	acuéstese
acuifero	acuífero
acumulacion	acumulación
acumulandose	acumulándose
acurrucate	acurrúcate
acusacion	acusación
acusais	acusáis
acusandola	acusándola
acusandole	acusándole
acusandolo	acusándolo
acusandome	acusándome
acusandote	acusándote
acusaria	acusaría
acusarian	acusarían
acuseme	acúseme
acustica	acústica
acusticas	acústicas
acustico	acústico
acusticos	acústicos
adan	adán
adaptacion	adaptación
adaptandome	adaptándome
adaptandose	adaptándose
adaptaria	adaptaría
adelantandose	adelantándose
adelantaria	adelantaría
adelantense	adelántense
adelantese	adelántese
adentrandose	adentrándose
adhesion	adhesión
adhirio	adhirió
adiccion	adicción
adicion	adición
adios	adiós
adivinacion	adivinación
adivinais	adivináis
adivinalo	adivínalo
adivinaria	adivinaría
adivinarias	adivinarías
adivinelo	adivínelo
adjudicacion	adjudicación
administracion	administración
admirabamos	admirábamos
admiracion	admiración
admision	admisión
admitalo	admítalo
admitanlo	admítanlo
admitelo	admítelo
admiti	admití
admitia	admitía
admitian	admitían
admitio	admitió
admitira	admitirá
admitiran	admitirán
admitiras	admitirás
admitire	admitiré
admitiria	admitiría
admitirian	admitirían
admitirias	admitirías
admitis	admitís
adopcion	adopción
adoptaria	adoptaría
adoquin	adoquín
adorabamos	adorábamos
adoracion	adoración
adorais	adoráis
adoraria	adoraría
adorarian	adorarían
adquiri	adquirí
adquirio	adquirió
adquirira	adquirirá
adquisicion	adquisición
adriatico	adriático
adulacion	adulación
adulteros	adúlteros
adverti	advertí
advertia	advertía
advertian	advertían
advertira	advertirá
advertire	advertiré
advertirmelo	advertírmelo
advertirselo	advertírselo
advertirtelo	advertírtelo
advirtiendole	advirtiéndole
advirtiendome	advirtiéndome
advirtio	advirtió
aerea	aérea
aereas	aéreas
aereo	aéreo
aereos	aéreos
aerobica	aeróbica
aerobico	aeróbico
aerobicos	aeróbicos
aerodinamica	aerodinámica
aerodinamico	aerodinámico
aerodinamicos	aerodinámicos
aerodromo	aeródromo
aerodromos	aeródromos
aerolinea	aerolínea
aerolineas	aerolíneas
aeronautica	aeronáutica
aeronautico	aeronáutico
aerostatico	aerostático
aerostaticos	aerostáticos
afan	afán
afeccion	afección
afectacion	afectación
afectaria	afectaría
afectarian	afectarían
afeitandome	afeitándome
afeitandose	afeitándose
afeitandote	afeitándote
afeitaria	afeitaría
aferrandome	aferrándome
aferrandose	aferrándose
aferrandote	aferrándote
aficion	afición
afiliacion	afiliación
afin	afín
afinacion	afinación
afirmacion	afirmación
afirmaria	afirmaría
afliccion	aflicción
afonica	afónica
afonico	afónico
africa	áfrica
afrodisiaco	afrodisíaco
afrodisiacos	afrodisíacos
agachandose	agachándose
agachate	agáchate
agachense	agáchense
agachese	agáchese
agape	ágape
agarrala	agárrala
agarralas	agárralas
agarrale	agárrale
agarralo	agárralo
agarralos	agárralos
agarrame	agárrame
agarrandome	agarrándome
agarrandose	agarrándose
agarrandote	agarrándote
agarraria	agarraría
agarrate	agárrate
agarrela	agárrela
agarrelo	agárrelo
agarrenla	agárrenla
agarrenlo	agárrenlo
agarrenlos	agárrenlos
agarrense	agárrense
agarrese	agárrese
agarron	agarrón
agata	ágata
agil	ágil
agiles	ágiles
agitacion	agitación
agitalo	agítalo
agitandose	agitándose
aglomeracion	aglomeración
agnostica	agnóstica
agnostico	agnóstico
agnosticos	agnósticos
agonia	agonía
agonias	agonías
agonica	agónica
agonico	agónico
agotandose	agotándose
agradaria	agradaría
agradecele	agradécele
agradeceme	agradéceme
agradecemelo	agradécemelo
agradecera	agradecerá
agradeceran	agradecerán
agradeceras	agradecerás
agradecere	agradeceré
agradeceria	agradecería
agradeceriamos	agradeceríamos
agradecerian	agradecerían
agradecerias	agradecerías
agradecermelo	agradecérmelo
agradeceroslo	agradecéroslo
agradecerselo	agradecérselo
agradecertelo	agradecértelo
agradeceselo	agradéceselo
agradeci	agradecí
agradecia	agradecía
agradeciendole	agradeciéndole
agradeciendome	agradeciéndome
agradecio	agradeció
agradezcale	agradézcale
agredi	agredí
agredio	agredió
agregale	agrégale
agregalo	agrégalo
agregaria	agregaría
agresion	agresión
agricola	agrícola
agricolas	agrícolas
agronomo	agrónomo
agrupacion	agrupación
aguantala	aguántala
aguantalo	aguántalo
aguantame	aguántame
aguantaria	aguantaría
aguantarian	aguantarían
aguantarias	aguantarías
aguantate	aguántate
aguantense	aguántense
aguantese	aguántese
aguarras	aguarrás
aguero	agüero
aguijon	aguijón
aguila	águila
aguilas	águilas
aguita	agüita
agustin	agustín
ahi	ahí
ahinco	ahínco
ahogandome	ahogándome
ahogandose	ahogándose
ahogandote	ahogándote
ahogaria	ahogaría
ahorcaria	ahorcaría
ahorrame	ahórrame
ahorranos	ahórranos
ahorraria	ahorraría
ahorrariamos	ahorraríamos
ahorrarian	ahorrarían
ahorrarias	ahorrarías
ahorrate	ahórrate
aisla	aísla
aislan	aíslan
aislas	aíslas
aislen	aíslen
aislo	aisló
aji	ají
ajies	ajíes
ajonjoli	ajonjolí
ajustalo	ajústalo
ajustandose	ajustándose
ajustaria	ajustaría
ajustate	ajústate
alacran	alacrán
alamo	álamo
alamos	álamos
alarmeis	alarméis
alazan	alazán
albanes	albanés
albañileria	albañilería
albedrio	albedrío
albondiga	albóndiga
albondigas	albóndigas
album	álbum
albumes	álbumes
alcaldia	alcaldía
alcanceme	alcánceme
alcancia	alcancía
alcantara	alcántara
alcanzame	alcánzame
alcanzanos	alcánzanos
alcanzaria	alcanzaría
alcanzariamos	alcanzaríamos
alcanzarian	alcanzarían
alcanzarias	alcanzarías
alcaudon	alcaudón
alcazar	alcázar
alcoholica	alcohólica
alcoholicas	alcohólicas
alcoholico	alcohólico
alcoholicos	alcohólicos
aleacion	aleación
alegacion	alegación
alegoria	alegoría
alegorico	alegórico
alegrais	alegráis
alegrame	alégrame
alegraria	alegraría
alegrarian	alegrarían
alegrarias	alegrarías
alegrate	alégrate
alegremonos	alegrémonos
alegrense	alégrense
alegrese	alégrese
alegria	alegría
alegrias	alegrías
alejala	aléjala
alejalo	aléjalo
alejalos	aléjalos
alejandome	alejándome
alejandonos	alejándonos
alejandose	alejándose
alejandote	alejándote
alejaramos	alejáramos
alejaria	alejaría
alejarias	alejarías
alejate	aléjate
alejeis	alejéis
alejemonos	alejémonos
alejense	aléjense
alejese	aléjese
aleman	alemán
alentaria	alentaría
alente	alenté
alento	alentó
alergica	alérgica
alergicas	alérgicas
alergico	alérgico
alergicos	alérgicos
aleron	alerón
alertaria	alertaría
alevosia	alevosía
alfabeticamente	alfabéticamente
alfabetico	alfabético
alfabetizacion	alfabetización
alfareria	alfarería
alferez	alférez
algarabia	algarabía
algebra	álgebra
algido	álgido
algodon	algodón
algun	algún
alia	alía
alian	alían
alicaido	alicaído
alien	alíen
alienacion	alienación
alienigena	alienígena
alienigenas	alienígenas
alimentabamos	alimentábamos
alimentacion	alimentación
alimentalo	aliméntalo
alimentandolo	alimentándolo
alimentandome	alimentándome
alimentandose	alimentándose
alimentandote	alimentándote
alimentate	aliméntate
alineacion	alineación
alio	alió
alistandose	alistándose
alistate	alístate
aliteracion	aliteración
aliviaria	aliviaría
alla	allá
alli	allí
almacen	almacén
almibar	almíbar
almidon	almidón
almohadon	almohadón
almorce	almorcé
almorzo	almorzó
alocucion	alocución
alojandose	alojándose
alojaria	alojaría
alquilaria	alquilaría
alquitran	alquitrán
altaneria	altanería
alteracion	alteración
alteraria	alteraría
altimetro	altímetro
altisimo	altísimo
altisimos	altísimos
alucinacion	alucinación
alucinogena	alucinógena
alucinogenas	alucinógenas
alucinogeno	alucinógeno
alucinogenos	alucinógenos
alusion	alusión
aluvion	aluvión
alzandose	alzándose
alzaria	alzaría
alzate	álzate
amabamos	amábamos
amais	amáis
amala	ámala
amalo	ámalo
amame	ámame
amandola	amándola
amandolo	amándolo
amandome	amándome
amandonos	amándonos
amandote	amándote
amanecera	amanecerá
amanecia	amanecía
amanecio	amaneció
amaria	amaría
amariamos	amaríamos
amarian	amarían
amarias	amarías
amarrate	amárrate
amazonica	amazónica
amazonico	amazónico
ambar	ámbar
ambicion	ambición
ambientacion	ambientación
ambiguedad	ambigüedad
ambiguedades	ambigüedades
ambito	ámbito
ambitos	ámbitos
ambrosia	ambrosía
ameis	améis
amenazandola	amenazándola
amenazandolo	amenazándolo
amenazandome	amenazándome
amenazandonos	amenazándonos
amenazandote	amenazándote
amenazaria	amenazaría
amigdala	amígdala
amigdalas	amígdalas
aminoacido	aminoácido
aminoacidos	aminoácidos
amniotico	amniótico
amnistia	amnistía
amonestacion	amonestación
amontonandose	amontonándose
amorio	amorío
amorios	amoríos
amortiguacion	amortiguación
amortizacion	amortización
ampliacion	ampliación
amplian	amplían
amplien	amplíen
amplificacion	amplificación
amputacion	amputación
anade	ánade
analgesico	analgésico
analgesicos	analgésicos
analisis	análisis
analitica	analítica
analiticas	analíticas
analitico	analítico
analiticos	analíticos
analizandolo	analizándolo
analoga	análoga
analogia	analogía
analogias	analogías
analogica	analógica
analogico	analógico
analogo	análogo
anana	ananá
ananas	ananás
anarquia	anarquía
anarquica	anárquica
anarquico	anárquico
